epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9206.53,1.40934,1.21252,1.73518,0.90455,0.89454,0.91541,0.48063,1.6643,0.68443,2.16909,0.00063024,0.00063024,0.00063024
43,9419.2,1.40573,1.21391,1.73374,0.92,0.89864,0.91674,0.48238,1.64729,0.67738,2.15661,0.000626921,0.000626921,0.000626921
44,9633.08,1.39013,1.19688,1.71984,0.91515,0.89945,0.91312,0.48155,1.64859,0.66145,2.17719,0.000623535,0.000623535,0.000623535
45,9848.13,1.38779,1.18623,1.71405,0.90773,0.89891,0.91237,0.48673,1.63651,0.65634,2.18363,0.000620081,0.000620081,0.000620081
46,10062.6,1.38545,1.17844,1.71219,0.90936,0.8847,0.90714,0.48935,1.62928,0.65427,2.18828,0.000616561,0.000616561,0.000616561
47,10277.3,1.38269,1.16217,1.70831,0.90564,0.88114,0.90472,0.48872,1.60508,0.65572,2.17636,0.000612976,0.000612976,0.000612976
48,10491.9,1.37147,1.16208,1.70025,0.90189,0.88689,0.90586,0.4906,1.59112,0.65137,2.18201,0.000609327,0.000609327,0.000609327
49,10706.6,1.35663,1.13744,1.68235,0.9008,0.88823,0.90132,0.48949,1.59285,0.65383,2.18911,0.000605613,0.000605613,0.000605613
50,10920.9,1.35941,1.14967,1.69024,0.91004,0.88907,0.90577,0.49464,1.58013,0.6469,2.17712,0.000601837,0.000601837,0.000601837
51,11135.9,1.34754,1.15007,1.68891,0.91408,0.89529,0.9076,0.49781,1.57222,0.63427,2.17834,0.000598,0.000598,0.000598
52,11350.6,1.35204,1.1323,1.68337,0.91242,0.89946,0.90861,0.49856,1.56987,0.62455,2.18221,0.000594102,0.000594102,0.000594102
53,11565.8,1.34637,1.13013,1.67845,0.91125,0.90328,0.90879,0.49696,1.56711,0.62151,2.19067,0.000590144,0.000590144,0.000590144
54,11781.2,1.33478,1.10412,1.66486,0.91093,0.90539,0.9103,0.50133,1.55887,0.62477,2.18485,0.000586127,0.000586127,0.000586127
55,11999.7,1.32723,1.11005,1.66396,0.9141,0.90492,0.91053,0.50139,1.55212,0.62181,2.18396,0.000582052,0.000582052,0.000582052
56,12218.2,1.32789,1.09941,1.65906,0.90993,0.89982,0.90684,0.50396,1.54386,0.61904,2.17759,0.00057792,0.00057792,0.00057792
57,12436.4,1.31682,1.09092,1.64899,0.91323,0.89716,0.90704,0.50469,1.5338,0.61431,2.16816,0.000573733,0.000573733,0.000573733
58,12655.4,1.31397,1.08413,1.64862,0.90966,0.89686,0.90226,0.50555,1.5242,0.60987,2.16009,0.000569491,0.000569491,0.000569491
59,12875.4,1.30635,1.08384,1.64885,0.91303,0.89491,0.90272,0.50825,1.51506,0.60622,2.15314,0.000565195,0.000565195,0.000565195
60,13107.3,1.30674,1.07519,1.64181,0.91629,0.89617,0.90358,0.50951,1.51269,0.60148,2.15929,0.000560846,0.000560846,0.000560846
61,13345.1,1.29419,1.05969,1.63225,0.91682,0.8974,0.90075,0.50882,1.50344,0.59793,2.15417,0.000556446,0.000556446,0.000556446
62,13585.5,1.2904,1.05362,1.62964,0.91251,0.89484,0.89855,0.5107,1.49373,0.59385,2.15062,0.000551996,0.000551996,0.000551996
63,13826.4,1.27872,1.04538,1.62322,0.91462,0.88976,0.89962,0.51414,1.48524,0.59681,2.14923,0.000547496,0.000547496,0.000547496
64,14062.3,1.28417,1.03035,1.62499,0.90236,0.89399,0.89751,0.51435,1.47842,0.59657,2.14718,0.000542947,0.000542947,0.000542947
65,14280.9,1.27408,1.04329,1.61986,0.90006,0.89564,0.89822,0.51665,1.4741,0.59522,2.14897,0.000538352,0.000538352,0.000538352
66,14510.4,1.26793,1.03405,1.61309,0.89783,0.89563,0.89754,0.51842,1.46973,0.59284,2.15287,0.00053371,0.00053371,0.00053371
67,14744.7,1.26687,1.01952,1.60742,0.896,0.89454,0.8979,0.5208,1.4642,0.58903,2.14918,0.000529024,0.000529024,0.000529024
68,14962.9,1.26485,1.02976,1.60807,0.90952,0.88361,0.90079,0.52216,1.4601,0.58713,2.14845,0.000524293,0.000524293,0.000524293
69,15181.4,1.25931,1.03257,1.61064,0.91165,0.88306,0.90024,0.52303,1.45515,0.5833,2.1485,0.000519521,0.000519521,0.000519521
70,15400.1,1.25595,1.02276,1.60607,0.91705,0.88251,0.89901,0.5241,1.44913,0.5822,2.14417,0.000514707,0.000514707,0.000514707
71,15615.4,1.24738,1.01057,1.60063,0.91707,0.88251,0.89931,0.52352,1.445,0.58126,2.14501,0.000509852,0.000509852,0.000509852
72,15828,1.24398,1.01738,1.59237,0.91583,0.8847,0.90029,0.52386,1.4402,0.58014,2.14316,0.000504959,0.000504959,0.000504959
