epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,20174.8,0.97219,0.73468,1.38169,0.89209,0.89442,0.88457,0.57881,1.22838,0.54646,2.10499,3.2142e-05,3.2142e-05,3.2142e-05
176,20389.6,0.97668,0.73387,1.38568,0.89266,0.89344,0.88435,0.57944,1.22767,0.54647,2.10564,3.0009e-05,3.0009e-05,3.0009e-05
177,20604.7,0.97652,0.73805,1.38503,0.89359,0.89344,0.88454,0.5797,1.2264,0.54612,2.10594,2.79553e-05,2.79553e-05,2.79553e-05
178,20822.3,0.96741,0.73172,1.37796,0.89312,0.8929,0.8846,0.58003,1.22505,0.5459,2.1055,2.59816e-05,2.59816e-05,2.59816e-05
179,21040,0.97123,0.73313,1.38115,0.89129,0.8929,0.88432,0.58066,1.22315,0.54561,2.10475,2.40883e-05,2.40883e-05,2.40883e-05
180,21257.9,0.96857,0.73066,1.3785,0.89079,0.89143,0.88383,0.58088,1.22217,0.54548,2.10532,2.22758e-05,2.22758e-05,2.22758e-05
181,21476,0.96947,0.72556,1.37929,0.89014,0.8918,0.88393,0.58086,1.2212,0.5452,2.10544,2.05446e-05,2.05446e-05,2.05446e-05
182,21694.4,0.97573,0.73413,1.38466,0.89142,0.89071,0.88402,0.58034,1.21982,0.54559,2.10504,1.88951e-05,1.88951e-05,1.88951e-05
183,21912.6,0.9706,0.73299,1.38135,0.89253,0.88952,0.88405,0.58032,1.21867,0.54563,2.10537,1.73277e-05,1.73277e-05,1.73277e-05
184,22131,0.97199,0.73332,1.38351,0.89199,0.88897,0.88367,0.5802,1.21775,0.54549,2.10594,1.58429e-05,1.58429e-05,1.58429e-05
185,22348.9,0.96177,0.72572,1.3752,0.89247,0.88889,0.88363,0.58008,1.21644,0.54544,2.10567,1.44409e-05,1.44409e-05,1.44409e-05
186,22586.7,0.79111,0.4026,1.31411,0.89043,0.88798,0.88284,0.57952,1.21564,0.54608,2.10648,1.31222e-05,1.31222e-05,1.31222e-05
187,22803.3,0.76527,0.37906,1.29043,0.89145,0.88743,0.88257,0.57924,1.21454,0.54574,2.10653,1.1887e-05,1.1887e-05,1.1887e-05
188,23018.6,0.74882,0.36476,1.27397,0.89243,0.88689,0.88269,0.57961,1.21335,0.54577,2.10638,1.07357e-05,1.07357e-05,1.07357e-05
189,23234.1,0.74196,0.36161,1.27078,0.89269,0.88644,0.8822,0.5789,1.2122,0.54683,2.10567,9.66846e-06,9.66846e-06,9.66846e-06
190,23449.7,0.74076,0.3585,1.26766,0.89278,0.88579,0.88226,0.57823,1.21136,0.54732,2.10544,8.68568e-06,8.68568e-06,8.68568e-06
191,23664.9,0.73303,0.35657,1.26552,0.89329,0.88745,0.88305,0.57791,1.21046,0.54811,2.10503,7.78754e-06,7.78754e-06,7.78754e-06
192,23880.6,0.72738,0.35164,1.26047,0.89319,0.88655,0.88261,0.5789,1.21014,0.54833,2.10529,6.97426e-06,6.97426e-06,6.97426e-06
193,24095.6,0.72787,0.3558,1.26204,0.89536,0.88374,0.88299,0.57877,1.20958,0.54891,2.10509,6.24606e-06,6.24606e-06,6.24606e-06
194,24310.5,0.72371,0.34762,1.25357,0.89571,0.88415,0.88252,0.57825,1.2092,0.54943,2.10531,5.6031e-06,5.6031e-06,5.6031e-06
195,24522.7,0.72459,0.35,1.25718,0.89871,0.88245,0.88177,0.57795,1.20829,0.54928,2.10415,5.04555e-06,5.04555e-06,5.04555e-06
196,24735.3,0.72339,0.34714,1.2563,0.89755,0.88251,0.8814,0.57821,1.20764,0.54954,2.10384,4.57354e-06,4.57354e-06,4.57354e-06
197,24947.9,0.71398,0.34576,1.2466,0.89665,0.88251,0.88202,0.57749,1.20701,0.54947,2.10334,4.18719e-06,4.18719e-06,4.18719e-06
198,25160.9,0.72042,0.34684,1.25441,0.89626,0.88282,0.88138,0.57798,1.20632,0.54929,2.10293,3.8866e-06,3.8866e-06,3.8866e-06
199,25373.6,0.71804,0.34822,1.25385,0.89518,0.88415,0.88076,0.57785,1.20622,0.54916,2.10354,3.67184e-06,3.67184e-06,3.67184e-06
200,25585.8,0.72032,0.34761,1.25592,0.89501,0.88525,0.88078,0.57762,1.20649,0.55036,2.10501,3.54296e-06,3.54296e-06,3.54296e-06
